   "num"  "trialt"     "cue"  "codCUE"  "delay1"   "dis"  "codDIS"               "DIS"  "delay2"          "TAR"  "codTAR"    "bp" "ISIrand"; 
       1         1    "Ldog"        17       865       0       117               "nul"     152   "S_tarson_L"       217       1       100;
       2         1    "Ldog"        17       423       0       117               "nul"     520   "S_tarson_L"       217       1       164;
       3         1    "Ldog"        25       515       2       125             "ring7"     341   "S_tarson_L"       225       1       178;
       4         0    "Bdog"         2       340       0       102               "nul"     666   "S_tarson_R"       202       1       157;
       5         0    "Bdog"         1       277       0       101               "nul"     596   "S_tarson_L"       201       1        94;
       6         1    "Rdog"        34       955       0       134               "nul"      79   "S_tarson_R"       234       1        89;
       7         1    "Ldog"        17       837       0       117               "nul"     153   "S_tarson_L"       217       1        60;
       8         1    "Ldog"        21       355       1       121        "telephone2"     652   "S_tarson_L"       221       1       119;
       9         0    "Bdog"         1       917       0       101               "nul"      70   "S_tarson_L"       201       1        43;
      10         1    "Ldog"        17       604       0       117               "nul"     348   "S_tarson_L"       217       1         3;
      11         0    "Bdog"         2       296       0       102               "nul"     603   "S_tarson_R"       202       1        90;
      12         1    "Rdog"        38       484       1       138          "AlarmMix"     455   "S_tarson_R"       238       1        29;
      13         1    "Ldog"        17       310       0       117               "nul"     687   "S_tarson_L"       217       1       125;
      14         0    "Bdog"         2       593       0       102               "nul"     418   "S_tarson_R"       202       1       147;
      15         0    "Bdog"         2       792       0       102               "nul"     218   "S_tarson_R"       202       1       168;
      16         0    "Bdog"         1       756       0       101               "nul"     217   "S_tarson_L"       201       1       119;
      17         0    "Bdog"         9       567       2       109       "telephone17"     340   "S_tarson_L"       209       1       185;
      18         0    "Bdog"         6       388       1       106              "DING"     660   "S_tarson_R"       206       1        56;
      19         1    "Rdog"        34       819       0       134               "nul"     202   "S_tarson_R"       234       1       119;
      20         1    "Ldog"        21       350       1       121            "RINGIN"     688   "S_tarson_L"       221       1        67;
      21         0    "Bdog"        10       805       2       110       "PhoneRingIn"     191   "S_tarson_R"       210       1       120;
      22         0    "Bdog"         6       347       1       106            "ring20"     546   "S_tarson_R"       206       1       168;
      23         0    "Bdog"         2       474       0       102               "nul"     410   "S_tarson_R"       202       1        62;
      24         1    "Ldog"        17       772       0       117               "nul"     121   "S_tarson_L"       217       1        51;
      25         0    "Bdog"         1       827       0       101               "nul"     190   "S_tarson_L"       201       1        15;
      26         0    "Bdog"         5       528       1       105       "telephone15"     435   "S_tarson_L"       205       1       118;
      27         1    "Rdog"        34       450       0       134               "nul"     431   "S_tarson_R"       234       1       196;
      28         0    "Bdog"         1       500       0       101               "nul"     421   "S_tarson_L"       201       1        57;
      29         1    "Rdog"        34       742       0       134               "nul"     152   "S_tarson_R"       234       1       171;
      30         0    "Bdog"         2       603       0       102               "nul"     254   "S_tarson_R"       202       1         4;
      31         1    "Ldog"        21       232       1       121            "ring10"     629   "S_tarson_L"       221       1        30;
      32         1    "Rdog"        42       847       2       142       "telephone18"      69   "S_tarson_R"       242       1       144;
};
